,img_name,WnID,bboxes,sample,pixel_w,pixel_h,Species,box_coords,n_boxes
45,n01664674_5044,n01664674,False,val,150,106,Pacific Ridley,,
46,n01664674_5059,n01664674,False,val,379,278,Pacific Ridley,,
47,n01664674_5372,n01664674,False,train,483,500,Pacific Ridley,,
48,n01664674_6596,n01664674,False,val,500,338,Pacific Ridley,,
49,n01664674_1045,n01664674,False,train,400,276,Pacific Ridley,,
50,n01664674_2084,n01664674,False,val,156,238,Pacific Ridley,,
51,n01664674_2668,n01664674,False,val,517,367,Pacific Ridley,,
52,n01664674_2849,n01664674,False,val,200,135,Pacific Ridley,,
53,n01664674_3013,n01664674,False,train,1500,1000,Pacific Ridley,,
54,n01664674_4820,n01664674,False,test,500,375,Pacific Ridley,,
55,n01664674_6091,n01664674,False,val,250,188,Pacific Ridley,,
56,n01664674_6743,n01664674,False,train,500,375,Pacific Ridley,,
57,n01664674_7335,n01664674,False,train,610,413,Pacific Ridley,,
58,n01664674_7748,n01664674,False,train,336,448,Pacific Ridley,,
59,n01664674_8226,n01664674,False,train,166,125,Pacific Ridley,,
60,n01664674_49,n01664674,False,train,500,375,Pacific Ridley,,
61,n01664674_198,n01664674,False,train,500,374,Pacific Ridley,,
62,n01664674_310,n01664674,False,test,500,365,Pacific Ridley,,
63,n01664674_409,n01664674,False,test,500,375,Pacific Ridley,,
64,n01664674_423,n01664674,False,train,500,333,Pacific Ridley,,
65,n01664674_567,n01664674,False,test,500,375,Pacific Ridley,,
66,n01664674_797,n01664674,False,val,500,375,Pacific Ridley,,
67,n01664674_810,n01664674,False,test,285,218,Pacific Ridley,,
68,n01664674_995,n01664674,False,train,135,124,Pacific Ridley,,
69,n01664674_1331,n01664674,False,test,500,375,Pacific Ridley,,
70,n01664674_1472,n01664674,False,train,375,500,Pacific Ridley,,
71,n01664674_1799,n01664674,False,train,500,338,Pacific Ridley,,
72,n01664674_1864,n01664674,False,train,300,200,Pacific Ridley,,
73,n01664674_1981,n01664674,False,test,500,352,Pacific Ridley,,
74,n01664674_2005,n01664674,False,val,500,375,Pacific Ridley,,
75,n01664674_2144,n01664674,False,train,248,178,Pacific Ridley,,
76,n01664674_2546,n01664674,False,val,500,331,Pacific Ridley,,
77,n01664674_2564,n01664674,False,train,610,397,Pacific Ridley,,
78,n01664674_2581,n01664674,False,val,190,127,Pacific Ridley,,
79,n01664674_2796,n01664674,False,train,145,94,Pacific Ridley,,
80,n01664674_2836,n01664674,False,train,375,500,Pacific Ridley,,
81,n01664674_2876,n01664674,False,train,400,300,Pacific Ridley,,
82,n01664674_2932,n01664674,False,train,500,375,Pacific Ridley,,
83,n01664674_3017,n01664674,False,train,440,220,Pacific Ridley,,
84,n01664674_3091,n01664674,False,train,175,108,Pacific Ridley,,
85,n01664674_3145,n01664674,False,train,610,416,Pacific Ridley,,
86,n01664674_3351,n01664674,False,train,500,375,Pacific Ridley,,
87,n01664674_3418,n01664674,False,train,500,375,Pacific Ridley,,
88,n01664674_3953,n01664674,False,train,500,333,Pacific Ridley,,
89,n01664674_3970,n01664674,False,test,500,375,Pacific Ridley,,
90,n01664674_3993,n01664674,False,train,380,260,Pacific Ridley,,
91,n01664674_4114,n01664674,False,test,500,375,Pacific Ridley,,
92,n01664674_4300,n01664674,False,test,500,375,Pacific Ridley,,
93,n01664674_4322,n01664674,False,test,1240,1056,Pacific Ridley,,
94,n01664674_4404,n01664674,False,train,500,328,Pacific Ridley,,
95,n01664674_4961,n01664674,False,test,500,375,Pacific Ridley,,
96,n01664674_5346,n01664674,False,train,500,375,Pacific Ridley,,
97,n01664674_5656,n01664674,False,train,500,375,Pacific Ridley,,
98,n01664674_6029,n01664674,False,val,500,375,Pacific Ridley,,
99,n01664674_6128,n01664674,False,test,375,500,Pacific Ridley,,
100,n01664674_6202,n01664674,False,train,800,600,Pacific Ridley,,
101,n01664674_6258,n01664674,False,train,500,375,Pacific Ridley,,
102,n01664674_6312,n01664674,False,val,500,375,Pacific Ridley,,
103,n01664674_6423,n01664674,False,train,500,375,Pacific Ridley,,
104,n01664674_7440,n01664674,False,train,500,333,Pacific Ridley,,
105,n01664674_7628,n01664674,False,train,500,375,Pacific Ridley,,
106,n01664674_7909,n01664674,False,train,500,375,Pacific Ridley,,
107,n01664674_8526,n01664674,False,train,250,137,Pacific Ridley,,
108,n01664674_4089,n01664674,False,train,350,230,Pacific Ridley,,
109,n01664674_5456,n01664674,False,train,500,333,Pacific Ridley,,
110,n01664674_5722,n01664674,False,train,500,238,Pacific Ridley,,
111,n01664674_6221,n01664674,False,train,160,105,Pacific Ridley,,
112,n01664674_8543,n01664674,False,test,500,331,Pacific Ridley,,
113,n01664674_336,n01664674,False,val,182,130,Pacific Ridley,,
114,n01664674_624,n01664674,False,val,180,168,Pacific Ridley,,
115,n01664674_735,n01664674,False,val,300,175,Pacific Ridley,,
116,n01664674_1259,n01664674,False,val,778,514,Pacific Ridley,,
117,n01664674_1618,n01664674,False,test,392,260,Pacific Ridley,,
118,n01664674_1902,n01664674,False,train,600,389,Pacific Ridley,,
119,n01664674_2230,n01664674,False,train,250,169,Pacific Ridley,,
120,n01664674_2455,n01664674,False,train,486,258,Pacific Ridley,,
121,n01664674_2470,n01664674,False,val,640,480,Pacific Ridley,,
122,n01664674_2555,n01664674,False,val,166,107,Pacific Ridley,,
123,n01664674_3405,n01664674,False,test,150,107,Pacific Ridley,,
124,n01664674_3497,n01664674,False,train,125,104,Pacific Ridley,,
125,n01664674_3521,n01664674,False,train,500,333,Pacific Ridley,,
126,n01664674_4503,n01664674,False,train,250,167,Pacific Ridley,,
127,n01664674_4768,n01664674,False,train,220,165,Pacific Ridley,,
128,n01664674_4992,n01664674,False,val,200,137,Pacific Ridley,,
129,n01664674_5016,n01664674,False,test,200,138,Pacific Ridley,,
130,n01664674_5032,n01664674,False,train,200,130,Pacific Ridley,,
131,n01664674_5115,n01664674,False,test,1129,715,Pacific Ridley,,
132,n01664674_5472,n01664674,False,val,500,338,Pacific Ridley,,
133,n01664674_5795,n01664674,False,train,120,94,Pacific Ridley,,
134,n01664674_6899,n01664674,False,test,400,257,Pacific Ridley,,
135,n01664674_7076,n01664674,False,test,300,200,Pacific Ridley,,
136,n01664674_7140,n01664674,False,val,283,213,Pacific Ridley,,
137,n01664674_270,n01664674,False,test,600,400,Pacific Ridley,,
138,n01664674_764,n01664674,False,test,500,385,Pacific Ridley,,
139,n01664674_947,n01664674,False,test,221,122,Pacific Ridley,,
140,n01664674_1032,n01664674,False,train,351,277,Pacific Ridley,,
141,n01664674_1056,n01664674,False,train,610,416,Pacific Ridley,,
142,n01664674_1400,n01664674,False,train,192,134,Pacific Ridley,,
143,n01664674_1514,n01664674,False,train,265,227,Pacific Ridley,,
144,n01664674_1550,n01664674,False,val,502,333,Pacific Ridley,,
145,n01664674_1600,n01664674,False,train,200,132,Pacific Ridley,,
146,n01664674_1901,n01664674,False,train,278,172,Pacific Ridley,,
147,n01664674_1929,n01664674,False,test,512,384,Pacific Ridley,,
148,n01664674_1978,n01664674,False,train,183,129,Pacific Ridley,,
149,n01664674_2154,n01664674,False,train,263,177,Pacific Ridley,,
150,n01664674_2174,n01664674,False,val,200,148,Pacific Ridley,,
151,n01664674_2265,n01664674,False,test,800,600,Pacific Ridley,,
152,n01664674_2293,n01664674,False,train,300,200,Pacific Ridley,,
153,n01664674_2325,n01664674,False,test,500,375,Pacific Ridley,,
154,n01664674_2409,n01664674,False,train,500,375,Pacific Ridley,,
155,n01664674_2415,n01664674,False,train,340,444,Pacific Ridley,,
156,n01664674_2458,n01664674,False,val,300,225,Pacific Ridley,,
157,n01664674_2462,n01664674,False,train,360,246,Pacific Ridley,,
158,n01664674_2596,n01664674,False,test,500,375,Pacific Ridley,,
159,n01664674_2871,n01664674,False,test,500,375,Pacific Ridley,,
160,n01664674_3242,n01664674,False,test,500,333,Pacific Ridley,,
161,n01664674_3300,n01664674,False,train,500,381,Pacific Ridley,,
162,n01664674_3431,n01664674,False,test,500,375,Pacific Ridley,,
163,n01664674_3542,n01664674,False,train,470,324,Pacific Ridley,,
164,n01664674_3686,n01664674,False,train,500,333,Pacific Ridley,,
165,n01664674_3888,n01664674,False,train,375,500,Pacific Ridley,,
166,n01664674_4609,n01664674,False,train,270,203,Pacific Ridley,,
167,n01664674_4617,n01664674,False,train,248,178,Pacific Ridley,,
168,n01664674_4625,n01664674,False,train,160,120,Pacific Ridley,,
169,n01664674_4651,n01664674,False,test,144,216,Pacific Ridley,,
170,n01664674_4701,n01664674,False,test,350,183,Pacific Ridley,,
171,n01664674_4751,n01664674,False,train,500,375,Pacific Ridley,,
172,n01664674_4785,n01664674,False,train,350,311,Pacific Ridley,,
173,n01664674_4852,n01664674,False,test,162,116,Pacific Ridley,,
174,n01664674_4857,n01664674,False,train,200,267,Pacific Ridley,,
175,n01664674_5036,n01664674,False,val,2048,1536,Pacific Ridley,,
176,n01664674_5085,n01664674,False,train,500,400,Pacific Ridley,,
177,n01664674_5094,n01664674,False,test,299,228,Pacific Ridley,,
178,n01664674_5131,n01664674,False,test,1600,1071,Pacific Ridley,,
179,n01664674_5193,n01664674,False,train,150,113,Pacific Ridley,,
180,n01664674_5200,n01664674,False,test,685,915,Pacific Ridley,,
181,n01664674_5245,n01664674,False,train,175,107,Pacific Ridley,,
182,n01664674_5263,n01664674,False,train,95,100,Pacific Ridley,,
183,n01664674_5430,n01664674,False,train,1600,1200,Pacific Ridley,,
184,n01664674_5467,n01664674,False,train,500,333,Pacific Ridley,,
185,n01664674_5767,n01664674,False,train,320,254,Pacific Ridley,,
186,n01664674_5779,n01664674,False,train,320,240,Pacific Ridley,,
187,n01664674_6066,n01664674,False,train,150,100,Pacific Ridley,,
188,n01664674_6084,n01664674,False,test,500,315,Pacific Ridley,,
189,n01664674_6122,n01664674,False,test,75,56,Pacific Ridley,,
190,n01664674_6125,n01664674,False,val,200,150,Pacific Ridley,,
191,n01664674_6234,n01664674,False,train,182,130,Pacific Ridley,,
192,n01664674_6256,n01664674,False,test,350,450,Pacific Ridley,,
193,n01664674_6414,n01664674,False,test,208,125,Pacific Ridley,,
194,n01664674_6506,n01664674,False,train,200,150,Pacific Ridley,,
195,n01664674_6604,n01664674,False,train,450,301,Pacific Ridley,,
196,n01664674_6674,n01664674,False,train,360,231,Pacific Ridley,,
197,n01664674_6721,n01664674,False,train,125,99,Pacific Ridley,,
198,n01664674_6815,n01664674,False,train,225,170,Pacific Ridley,,
199,n01664674_6937,n01664674,False,train,500,333,Pacific Ridley,,
200,n01664674_6962,n01664674,False,train,500,375,Pacific Ridley,,
201,n01664674_7025,n01664674,False,train,130,98,Pacific Ridley,,
202,n01664674_7666,n01664674,False,test,500,375,Pacific Ridley,,
203,n01664674_8190,n01664674,False,train,175,108,Pacific Ridley,,
204,n01664674_8493,n01664674,False,train,500,375,Pacific Ridley,,
205,n01664674_32,n01664674,False,test,241,281,Pacific Ridley,,
206,n01664674_125,n01664674,False,val,600,474,Pacific Ridley,,
207,n01664674_138,n01664674,False,val,100,65,Pacific Ridley,,
208,n01664674_177,n01664674,False,train,752,500,Pacific Ridley,,
209,n01664674_210,n01664674,False,train,350,240,Pacific Ridley,,
210,n01664674_272,n01664674,False,train,502,333,Pacific Ridley,,
211,n01664674_319,n01664674,False,val,600,450,Pacific Ridley,,
212,n01664674_358,n01664674,False,train,135,110,Pacific Ridley,,
213,n01664674_539,n01664674,False,train,175,119,Pacific Ridley,,
214,n01664674_556,n01664674,False,val,168,117,Pacific Ridley,,
215,n01664674_575,n01664674,False,test,1024,768,Pacific Ridley,,
216,n01664674_661,n01664674,False,train,160,120,Pacific Ridley,,
217,n01664674_695,n01664674,False,train,300,234,Pacific Ridley,,
218,n01664674_701,n01664674,False,train,900,471,Pacific Ridley,,
219,n01664674_716,n01664674,False,val,250,165,Pacific Ridley,,
220,n01664674_720,n01664674,False,train,190,130,Pacific Ridley,,
221,n01664674_930,n01664674,False,train,199,143,Pacific Ridley,,
222,n01664674_1005,n01664674,False,val,390,223,Pacific Ridley,,
223,n01664674_1088,n01664674,False,train,500,333,Pacific Ridley,,
224,n01664674_1146,n01664674,False,train,175,108,Pacific Ridley,,
225,n01664674_1251,n01664674,False,test,145,100,Pacific Ridley,,
226,n01664674_1256,n01664674,False,test,400,300,Pacific Ridley,,
227,n01664674_1542,n01664674,False,test,84,84,Pacific Ridley,,
228,n01664674_1782,n01664674,False,val,1704,2560,Pacific Ridley,,
229,n01664674_1894,n01664674,False,train,420,315,Pacific Ridley,,
230,n01664674_1987,n01664674,False,val,200,200,Pacific Ridley,,
231,n01664674_2033,n01664674,False,val,244,166,Pacific Ridley,,
232,n01664674_2060,n01664674,False,test,234,210,Pacific Ridley,,
233,n01664674_2338,n01664674,False,test,383,297,Pacific Ridley,,
234,n01664674_2608,n01664674,False,test,300,311,Pacific Ridley,,
235,n01664674_2642,n01664674,False,test,300,250,Pacific Ridley,,
236,n01664674_2723,n01664674,False,train,250,166,Pacific Ridley,,
237,n01664674_2790,n01664674,False,train,425,326,Pacific Ridley,,
238,n01664674_2814,n01664674,False,train,250,166,Pacific Ridley,,
239,n01664674_2841,n01664674,False,test,640,457,Pacific Ridley,,
240,n01664674_2870,n01664674,False,train,640,480,Pacific Ridley,,
241,n01664674_2929,n01664674,False,test,166,125,Pacific Ridley,,
242,n01664674_3008,n01664674,False,train,200,163,Pacific Ridley,,
243,n01664674_3044,n01664674,False,test,600,404,Pacific Ridley,,
244,n01664674_3782,n01664674,False,test,175,146,Pacific Ridley,,
245,n01664674_4066,n01664674,False,test,400,267,Pacific Ridley,,
246,n01664674_4115,n01664674,False,train,211,158,Pacific Ridley,,
247,n01664674_4161,n01664674,False,val,398,261,Pacific Ridley,,
248,n01664674_4202,n01664674,False,val,562,886,Pacific Ridley,,
249,n01664674_4264,n01664674,False,test,200,150,Pacific Ridley,,
250,n01664674_4311,n01664674,False,train,500,337,Pacific Ridley,,
251,n01664674_4416,n01664674,False,test,506,180,Pacific Ridley,,
252,n01664674_4421,n01664674,False,val,640,457,Pacific Ridley,,
253,n01664674_4465,n01664674,False,val,208,161,Pacific Ridley,,
254,n01664674_4497,n01664674,False,train,350,250,Pacific Ridley,,
255,n01664674_4637,n01664674,False,val,400,300,Pacific Ridley,,
256,n01664674_4661,n01664674,False,val,506,180,Pacific Ridley,,
257,n01664674_4754,n01664674,False,val,380,255,Pacific Ridley,,
258,n01664674_4761,n01664674,False,train,250,188,Pacific Ridley,,
259,n01664674_4832,n01664674,False,val,196,147,Pacific Ridley,,
260,n01664674_4841,n01664674,False,train,255,200,Pacific Ridley,,
261,n01664674_4887,n01664674,False,val,1024,768,Pacific Ridley,,
262,n01664674_4899,n01664674,False,train,400,300,Pacific Ridley,,
263,n01664674_4912,n01664674,False,val,432,297,Pacific Ridley,,
264,n01664674_4990,n01664674,False,train,180,129,Pacific Ridley,,
265,n01664674_5024,n01664674,False,train,225,311,Pacific Ridley,,
266,n01664674_5068,n01664674,False,val,128,78,Pacific Ridley,,
267,n01664674_5080,n01664674,False,test,125,83,Pacific Ridley,,
268,n01664674_5091,n01664674,False,test,200,131,Pacific Ridley,,
269,n01664674_5135,n01664674,False,train,500,375,Pacific Ridley,,
270,n01664674_5324,n01664674,False,train,500,332,Pacific Ridley,,
271,n01664674_5335,n01664674,False,train,400,284,Pacific Ridley,,
272,n01664674_5350,n01664674,False,train,113,70,Pacific Ridley,,
273,n01664674_5405,n01664674,False,train,420,315,Pacific Ridley,,
274,n01664674_5493,n01664674,False,train,250,196,Pacific Ridley,,
275,n01664674_5508,n01664674,False,train,250,168,Pacific Ridley,,
276,n01664674_5665,n01664674,False,train,220,120,Pacific Ridley,,
277,n01664674_5667,n01664674,False,train,166,125,Pacific Ridley,,
278,n01664674_5709,n01664674,False,val,250,203,Pacific Ridley,,
279,n01664674_5720,n01664674,False,train,600,289,Pacific Ridley,,
280,n01664674_5810,n01664674,False,train,300,235,Pacific Ridley,,
281,n01664674_5815,n01664674,False,train,348,250,Pacific Ridley,,
282,n01664674_5875,n01664674,False,test,500,375,Pacific Ridley,,
283,n01664674_5879,n01664674,False,train,580,402,Pacific Ridley,,
284,n01664674_5895,n01664674,False,train,500,338,Pacific Ridley,,
285,n01664674_5949,n01664674,False,val,142,100,Pacific Ridley,,
286,n01664674_6025,n01664674,False,test,300,200,Pacific Ridley,,
287,n01664674_6082,n01664674,False,val,110,150,Pacific Ridley,,
288,n01664674_6176,n01664674,False,train,145,114,Pacific Ridley,,
289,n01664674_6187,n01664674,False,train,472,500,Pacific Ridley,,
290,n01664674_6216,n01664674,False,train,402,245,Pacific Ridley,,
291,n01664674_6323,n01664674,False,test,150,105,Pacific Ridley,,
292,n01664674_6373,n01664674,False,val,160,111,Pacific Ridley,,
293,n01664674_6471,n01664674,False,train,690,446,Pacific Ridley,,
294,n01664674_6581,n01664674,False,test,350,513,Pacific Ridley,,
295,n01664674_6648,n01664674,False,test,150,155,Pacific Ridley,,
296,n01664674_6684,n01664674,False,val,200,133,Pacific Ridley,,
297,n01664674_6838,n01664674,False,train,500,398,Pacific Ridley,,
298,n01664674_6862,n01664674,False,train,456,297,Pacific Ridley,,
299,n01664674_6879,n01664674,False,val,400,300,Pacific Ridley,,
300,n01664674_7094,n01664674,False,train,250,146,Pacific Ridley,,
301,n01664674_7123,n01664674,False,train,753,430,Pacific Ridley,,
302,n01664674_7275,n01664674,False,test,200,136,Pacific Ridley,,
303,n01664674_7396,n01664674,False,train,432,324,Pacific Ridley,,
304,n01664674_7527,n01664674,False,val,216,176,Pacific Ridley,,
305,n01664674_8023,n01664674,False,train,250,161,Pacific Ridley,,
306,n01664674_8070,n01664674,False,train,280,178,Pacific Ridley,,
307,n01664674_8074,n01664674,False,test,292,190,Pacific Ridley,,
308,n01664674_8371,n01664674,False,train,350,259,Pacific Ridley,,
309,n01664674_8391,n01664674,False,val,400,263,Pacific Ridley,,
310,n01664674_8558,n01664674,False,train,813,396,Pacific Ridley,,
311,n01664674_8681,n01664674,False,train,500,333,Pacific Ridley,,
312,n01664674_8747,n01664674,False,train,500,333,Pacific Ridley,,
313,n01664674_8822,n01664674,False,train,500,333,Pacific Ridley,,
314,n01664674_8906,n01664674,False,val,500,333,Pacific Ridley,,
315,n01664674_8913,n01664674,False,val,500,333,Pacific Ridley,,
316,n01664674_8949,n01664674,False,val,500,333,Pacific Ridley,,
317,n01664674_234,n01664674,False,train,344,195,Pacific Ridley,,
318,n01664674_392,n01664674,False,train,240,206,Pacific Ridley,,
319,n01664674_619,n01664674,False,train,610,406,Pacific Ridley,,
320,n01664674_648,n01664674,False,test,200,150,Pacific Ridley,,
321,n01664674_838,n01664674,False,train,640,479,Pacific Ridley,,
322,n01664674_908,n01664674,False,val,160,101,Pacific Ridley,,
323,n01664674_1213,n01664674,False,train,192,144,Pacific Ridley,,
324,n01664674_1829,n01664674,False,test,160,120,Pacific Ridley,,
325,n01664674_2110,n01664674,False,test,160,120,Pacific Ridley,,
326,n01664674_2190,n01664674,False,train,249,139,Pacific Ridley,,
327,n01664674_2218,n01664674,False,val,280,188,Pacific Ridley,,
328,n01664674_2898,n01664674,False,train,500,375,Pacific Ridley,,
329,n01664674_3178,n01664674,False,train,200,133,Pacific Ridley,,
330,n01664674_3509,n01664674,False,val,160,119,Pacific Ridley,,
331,n01664674_3541,n01664674,False,val,476,226,Pacific Ridley,,
332,n01664674_3577,n01664674,False,train,200,150,Pacific Ridley,,
333,n01664674_4400,n01664674,False,train,130,87,Pacific Ridley,,
334,n01664674_5602,n01664674,False,train,274,202,Pacific Ridley,,
335,n01664674_5757,n01664674,False,train,198,90,Pacific Ridley,,
336,n01664674_6935,n01664674,False,train,400,300,Pacific Ridley,,
337,n01664674_7483,n01664674,False,val,100,70,Pacific Ridley,,
338,n01664674_8416,n01664674,False,train,111,78,Pacific Ridley,,
339,n01664674_8472,n01664674,False,val,320,263,Pacific Ridley,,
340,n01664674_8507,n01664674,False,train,250,150,Pacific Ridley,,
341,n01664674_8874,n01664674,False,train,333,500,Pacific Ridley,,
342,n01664674_8898,n01664674,False,train,333,500,Pacific Ridley,,
343,n01664674_1596,n01664674,False,val,257,167,Pacific Ridley,,
344,n01664674_2322,n01664674,False,train,200,133,Pacific Ridley,,
345,n01664674_3538,n01664674,False,test,160,105,Pacific Ridley,,
346,n01664674_41,n01664674,False,test,200,237,Pacific Ridley,,
347,n01664674_297,n01664674,False,train,280,202,Pacific Ridley,,
348,n01664674_394,n01664674,False,train,360,270,Pacific Ridley,,
349,n01664674_416,n01664674,False,val,500,381,Pacific Ridley,,
350,n01664674_2350,n01664674,False,train,162,116,Pacific Ridley,,
351,n01664674_2628,n01664674,False,train,250,179,Pacific Ridley,,
352,n01664674_2685,n01664674,False,test,250,148,Pacific Ridley,,
353,n01664674_2867,n01664674,False,train,674,300,Pacific Ridley,,
354,n01664674_4306,n01664674,False,train,200,134,Pacific Ridley,,
355,n01664674_6649,n01664674,False,train,250,364,Pacific Ridley,,
356,n01664674_7450,n01664674,False,train,906,680,Pacific Ridley,,
357,n01664674_8341,n01664674,False,train,200,133,Pacific Ridley,,
358,n01664674_6756,n01664674,False,test,328,235,Pacific Ridley,,
359,n01664674_134,n01664674,False,val,500,333,Pacific Ridley,,
360,n01664674_248,n01664674,False,train,322,198,Pacific Ridley,,
361,n01664674_376,n01664674,False,train,400,300,Pacific Ridley,,
362,n01664674_387,n01664674,False,test,640,368,Pacific Ridley,,
363,n01664674_845,n01664674,False,train,300,199,Pacific Ridley,,
364,n01664674_979,n01664674,False,val,500,375,Pacific Ridley,,
365,n01664674_992,n01664674,False,train,500,375,Pacific Ridley,,
366,n01664674_1107,n01664674,False,train,500,375,Pacific Ridley,,
367,n01664674_1328,n01664674,False,val,229,144,Pacific Ridley,,
368,n01664674_3123,n01664674,False,train,222,135,Pacific Ridley,,
369,n01664674_3474,n01664674,False,val,150,113,Pacific Ridley,,
370,n01664674_3649,n01664674,False,test,225,150,Pacific Ridley,,
371,n01664674_4309,n01664674,False,train,500,336,Pacific Ridley,,
372,n01664674_4451,n01664674,False,val,150,113,Pacific Ridley,,
373,n01664674_4690,n01664674,False,train,255,147,Pacific Ridley,,
374,n01664674_5066,n01664674,False,val,170,161,Pacific Ridley,,
375,n01664674_5072,n01664674,False,train,448,336,Pacific Ridley,,
376,n01664674_5116,n01664674,False,train,896,787,Pacific Ridley,,
377,n01664674_5127,n01664674,False,val,330,270,Pacific Ridley,,
378,n01664674_8027,n01664674,False,train,500,334,Pacific Ridley,,
379,n01664674_2221,n01664674,False,train,514,337,Pacific Ridley,,
380,n01664674_1,n01664674,False,train,600,399,Pacific Ridley,,
381,n01664674_75,n01664674,False,train,98,130,Pacific Ridley,,
382,n01664674_108,n01664674,False,train,500,375,Pacific Ridley,,
383,n01664674_112,n01664674,False,test,500,334,Pacific Ridley,,
384,n01664674_129,n01664674,False,train,380,285,Pacific Ridley,,
385,n01664674_136,n01664674,False,test,550,413,Pacific Ridley,,
386,n01664674_139,n01664674,False,train,160,105,Pacific Ridley,,
387,n01664674_152,n01664674,False,test,400,481,Pacific Ridley,,
388,n01664674_155,n01664674,False,test,148,102,Pacific Ridley,,
389,n01664674_157,n01664674,False,train,200,150,Pacific Ridley,,
390,n01664674_208,n01664674,False,test,237,151,Pacific Ridley,,
391,n01664674_213,n01664674,False,train,336,448,Pacific Ridley,,
392,n01664674_227,n01664674,False,train,500,314,Pacific Ridley,,
393,n01664674_231,n01664674,False,train,270,126,Pacific Ridley,,
394,n01664674_268,n01664674,False,test,800,600,Pacific Ridley,,
395,n01664674_271,n01664674,False,train,288,172,Pacific Ridley,,
396,n01664674_273,n01664674,False,test,150,101,Pacific Ridley,,
397,n01664674_274,n01664674,False,test,225,157,Pacific Ridley,,
398,n01664674_298,n01664674,False,val,111,78,Pacific Ridley,,
399,n01664674_342,n01664674,False,train,200,161,Pacific Ridley,,
400,n01664674_348,n01664674,False,train,500,375,Pacific Ridley,,
401,n01664674_413,n01664674,False,test,500,375,Pacific Ridley,,
402,n01664674_458,n01664674,False,train,130,92,Pacific Ridley,,
403,n01664674_459,n01664674,False,train,225,176,Pacific Ridley,,
404,n01664674_475,n01664674,False,test,1536,1024,Pacific Ridley,,
405,n01664674_574,n01664674,False,val,200,150,Pacific Ridley,,
406,n01664674_579,n01664674,False,train,128,78,Pacific Ridley,,
407,n01664674_621,n01664674,False,test,320,240,Pacific Ridley,,
408,n01664674_623,n01664674,False,train,359,251,Pacific Ridley,,
409,n01664674_655,n01664674,False,test,375,500,Pacific Ridley,,
410,n01664674_658,n01664674,False,train,250,170,Pacific Ridley,,
